Name;Price;Link;Img;Color;Category;Subcategory
"ORIGINS STRAIGHT ANKLE FIT JEANS";"199.00 PLN";"https://www.zara.com/pl/en/origins-straight-ankle-fit-jeans-p03991406.html?v1=505065676&v2=2432125";"https://static.zara.net/assets/public/ece2/e069/358f42a4a431/53375ce19aec/03991406800-000-a1/03991406800-000-a1.jpg?ts=1771934904466&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"STRAIGHT-LEG JEANS";"179.00 PLN";"https://www.zara.com/pl/en/straight-leg-jeans-p03991431.html?v1=502276033&v2=2432125";"https://static.zara.net/assets/public/1b04/719e/f3754cfca028/daaa3ef9408b/03991431402-000-a1/03991431402-000-a1.jpg?ts=1771934908165&w=302";"Turquoise";"JEANS";"STRAIGHT"
"STRAIGHT-LEG JEANS";"179.00 PLN";"https://www.zara.com/pl/en/straight-leg-jeans-p04391425.html?v1=495707690&v2=2432125";"https://static.zara.net/assets/public/4e10/5aff/ca0343588c89/aebba7d342e1/04391425802-000-a1/04391425802-000-a1.jpg?ts=1771934949595&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"STRAIGHT-LEG JEANS";"159.00 PLN";"https://www.zara.com/pl/en/straight-leg-jeans-p08062424.html?v1=500610572&v2=2432125";"https://static.zara.net/assets/public/a1d6/ac83/a1194d82bfb3/9f0029902ca5/08062424700-a1/08062424700-a1.jpg?ts=1770891005737&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"STRAIGHT FIT JEANS";"219.00 PLN";"https://www.zara.com/pl/en/straight-fit-jeans-p00840515.html?v1=517737927&v2=2432125";"https://static.zara.net/assets/public/479f/bd34/f7a446f29cd3/ea3aaf332dc9/00840515485-a1/00840515485-a1.jpg?ts=1772196709432&w=302";"Blue / Grey";"JEANS";"STRAIGHT"
"STRAIGHT FIT JEANS";"219.00 PLN";"https://www.zara.com/pl/en/straight-fit-jeans-p00840515.html?v1=514994148&v2=2432125";"https://static.zara.net/assets/public/a17a/86c8/b32048ec98f0/bc332b83665d/05585432916-a1/05585432916-a1.jpg?ts=1772199741874&w=302";"Grey green";"JEANS";"STRAIGHT"
"STRAIGHT FIT JEANS";"219.00 PLN";"https://www.zara.com/pl/en/straight-fit-jeans-p00840515.html?v1=514994147&v2=2432125";"https://static.zara.net/assets/public/d1b5/e5bc/eb2e43dcaf0e/c0b97cb8ad04/05585432506-a1/05585432506-a1.jpg?ts=1772196765393&w=302";"Light khaki";"JEANS";"STRAIGHT"
"THERMAL STRAIGHT-LEG JEANS";"219.00 PLN";"https://www.zara.com/pl/en/thermal-straight-leg-jeans-p07380414.html?v1=509583311&v2=2432125";"https://static.zara.net/assets/public/c889/36ce/ea6d4733b88d/3ac393541509/07380414800-000-a1/07380414800-000-a1.jpg?ts=1771935001626&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"BOOTCUT FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/bootcut-fit-jeans-p03991444.html?v1=507250362&v2=2432125";"https://static.zara.net/assets/public/a5f8/a90d/710c497e919a/0b8f3e4c693c/03991444406-a1/03991444406-a1.jpg?ts=1771412137463&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"BOOTCUT FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/bootcut-fit-jeans-p03991426.html?v1=506798539&v2=2432125";"https://static.zara.net/assets/public/a496/5bc1/d9454f178ebd/7c09032523dd/03991426406-000-a1/03991426406-000-a1.jpg?ts=1771934905975&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"STRUCTURED STRAIGHT-LEG BOOTCUT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/structured-straight-leg-bootcut-jeans-p04365458.html?v1=506612981&v2=2432125";"https://static.zara.net/assets/public/8084/47f0/c0d943a390bc/f0d7ad60de88/04365458406-000-a1/04365458406-000-a1.jpg?ts=1772014058912&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"RIPPED STRAIGHT-LEG JEANS";"179.00 PLN";"https://www.zara.com/pl/en/ripped-straight-leg-jeans-p01300405.html?v1=506034708&v2=2432125";"https://static.zara.net/assets/public/c13e/c5ab/8fba483a887b/9badab27c2d5/01300405430-a1/01300405430-a1.jpg?ts=1770980571417&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"STRAIGHT FIT JEANS";"129.00 PLN";"https://www.zara.com/pl/en/straight-fit-jeans-p08062430.html?v1=503121060&v2=2432125";"https://static.zara.net/assets/public/7240/da85/fac943bd90f0/be1d4ec0d562/08062430250-000-a1/08062430250-000-a1.jpg?ts=1771935007238&w=302";"White";"JEANS";"STRAIGHT"
"DENIM CHINO TROUSERS";"179.00 PLN";"https://www.zara.com/pl/en/denim-chino-trousers-p03991402.html?v1=502761365&v2=2432125";"https://static.zara.net/assets/public/56a3/d1c6/d12945f2a418/709a135d1cde/03991402407-000-a1/03991402407-000-a1.jpg?ts=1772014036131&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"STRAIGHT-LEG JEANS";"179.00 PLN";"https://www.zara.com/pl/en/straight-leg-jeans-p03991431.html?v1=502276034&v2=2432125";"https://static.zara.net/assets/public/3c8d/95fb/6b574adb901b/a9120116f062/03991431700-000-a1/03991431700-000-a1.jpg?ts=1771934909445&w=302";"Brown";"JEANS";"STRAIGHT"
"RIPPED STRAIGHT-LEG JEANS";"179.00 PLN";"https://www.zara.com/pl/en/ripped-straight-leg-jeans-p03991421.html?v1=502276032&v2=2432125";"https://static.zara.net/assets/public/18aa/d2ed/a41a488eac72/b1b3fc195fca/03991421406-000-a1/03991421406-000-a1.jpg?ts=1771934905121&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"ORIGINS STRAIGHT ANKLE FIT JEANS";"199.00 PLN";"https://www.zara.com/pl/en/origins-straight-ankle-fit-jeans-p03991405.html?v1=501041672&v2=2432125";"https://static.zara.net/assets/public/9fc7/9e47/52d6404ba60e/6dbe0a0f794c/03991405250-000-a1/03991405250-000-a1.jpg?ts=1772014035504&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"STRAIGHT ANKLE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/straight-ankle-fit-jeans-p08062400.html?v1=495698239&v2=2432125";"https://static.zara.net/assets/public/4904/b767/ddcc45498ea0/7a5088f5ded6/08062400802-000-a1/08062400802-000-a1.jpg?ts=1771935007457&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"AARON LEVINE X ZARA STRAIGHT FIT JEANS";"259.00 PLN";"https://www.zara.com/pl/en/aaron-levine-x-zara-straight-fit-jeans-p05585480.html?v1=495684860&v2=2432125";"https://static.zara.net/assets/public/6da3/694e/ddc941339886/d135c37bd649/05585480822-000-a1/05585480822-000-a1.jpg?ts=1771934974798&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"STRAIGHT-LEG BOOTCUT JEANS AARON LEVINE X ZARA";"259.00 PLN";"https://www.zara.com/pl/en/straight-leg-bootcut-jeans-aaron-levine-x-zara-p05585490.html?v1=495684321&v2=2432125";"https://static.zara.net/assets/public/5d7f/8a4b/ba5546df8f34/6475965df20c/05585490427-000-a1/05585490427-000-a1.jpg?ts=1771934975571&w=302";"Mid-blue";"JEANS";"STRAIGHT"
"STRAIGHT-LEG BOOTCUT JEANS AARON LEVINE X ZARA";"259.00 PLN";"https://www.zara.com/pl/en/straight-leg-bootcut-jeans-aaron-levine-x-zara-p05585490.html?v1=495684320&v2=2432125";"https://static.zara.net/assets/public/b823/3eb5/9429419083ea/65a326725af9/05585490822-000-a1/05585490822-000-a1.jpg?ts=1771934975291&w=302";"Charcoal";"JEANS";"STRAIGHT"
"STRAIGHT-LEG JEANS";"179.00 PLN";"https://www.zara.com/pl/en/straight-leg-jeans-p06917400.html?v1=495684295&v2=2432125";"https://static.zara.net/assets/public/afe1/6d80/5cdc4cbd9664/14e5fba9963c/06917400730-000-a1/06917400730-000-a1.jpg?ts=1771934997375&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"STRAIGHT-LEG JEANS";"129.00 PLN";"https://www.zara.com/pl/en/straight-leg-jeans-p04065431.html?v1=495680347&v2=2432125";"https://static.zara.net/assets/public/512b/0f17/09eb4a95b453/8ddad964b8dc/04065431427-000-a1/04065431427-000-a1.jpg?ts=1772014053330&w=302";"NO_COLOR";"JEANS";"STRAIGHT"
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840353.html?v1=495669555&v2=2432121";"https://static.zara.net/assets/public/d189/b658/a09c4acc8fbf/e57704e95dd9/00840353800-000-a1/00840353800-000-a1.jpg?ts=1771934863465&w=302";"Black";"JEANS";"FLARE"
